Sales per Share,EPS (recurring),Dividends per Share,Cash Flow per Share,Date
0.083845,-,0,0.021303,JUN '85
0.026874,-,0,-,JUN '86
0.02173,0.004516,0,-,JUN '87
0.073506,0.015416,0,-,JUN '88
0.09921,0.021056,0,0.027469,JUN '89
0.137647,0.032472,0,0.032366,JUN '90
0.204652,0.051372,0,0.061934,JUN '91
0.293232,0.075261,0,0.096405,JUN '92
0.101382,0.024649,0,-,SEP '93
0.116057,0.029708,0,-,DEC '93
0.127878,0.034951,0,0.043483,MAR '94
0.13248,0.034939,0,0.051742,JUN '94
0.125301,0.031752,0,-,SEP '94
-,-,0,-,DEC '94
0.158446,0.039537,0,0.064197,MAR '95
0.161583,0.036683,0,0.051037,JUN '95
0.196875,0.04873,0,-,SEP '95
0.215027,0.056328,0,-,DEC '95
0.215669,0.054969,0,0.088517,MAR '96
0.220215,0.05459,0,0.08916,JUN '96
0.221696,0.059312,0,-,SEP '96
0.256902,0.070936,0,-,DEC '96
0.303328,0.097863,0,0.152988,MAR '97
0.302496,0.100038,0,0.101944,JUN '97
0.293511,0.080945,0,0.157539,SEP '97
0.335926,0.10551,0,0.155922,DEC '97
0.351397,0.123836,0,0.195717,MAR '98
0.372529,0.126539,0,0.133719,JUN '98
0.363728,0.154214,0,0.237762,SEP '98
0.452198,0.180952,0,0.196978,DEC '98
0.39287,0.173258,0,0.243469,MAR '99
0.59513,0.200201,0,0.238143,JUN '99
0.487064,0.197576,0,0.180025,SEP '99
0.551824,0.219393,0,0.193933,DEC '99
0.510193,0.215136,0,0.204673,MAR '00
0.524205,0.217576,0,0.682262,JUN '00
0.521864,0.23223,0,0.266331,SEP '00
0.591113,0.235548,0,0.25754,DEC '00
0.580262,0.220295,0,0.360777,MAR '01
0.589971,0.005831,0,0.321044,JUN '01
0.550207,0.115233,0,0.304383,SEP '01
0.696634,0.24703,0,0.320824,DEC '01
0.65106,0.252211,0,0.370327,MAR '02
0.676712,0.142284,0,0.320396,JUN '02
0.709601,0.277556,0,0.565409,SEP '02
0.784874,0.275106,0.08,0.254273,DEC '02
0.721189,0.272257,0,0.383744,MAR '03
0.742497,0.231955,0,0.24756,JUN '03
0.754708,0.241305,0.16,0.314561,SEP '03
0.931553,0.148738,0,0.419672,DEC '03
0.845155,0.284267,0,0.457811,MAR '04
0.855302,0.248638,0,0.152614,JUN '04
0.841484,0.267335,0.08,0.366941,SEP '04
0.987404,0.317105,0.08,0.330321,DEC '04
0.880066,0.2841,0.08,0.457689,MAR '05
0.939181,0.3834,0.08,0.367502,JUN '05
0.904289,0.31024,0.08,0.401875,SEP '05
1.112709,0.358,0.09,0.20972,DEC '05
1.046567,0.315881,0.09,0.438118,MAR '06
1.151048,0.324642,0.09,0.319941,JUN '06
1.08002,0.364446,0.1,0.405694,SEP '06
1.261517,0.277228,0.1,0.205391,DEC '06
1.459947,0.518941,0.1,0.739302,MAR '07
1.384591,0.326313,0.1,0.455835,JUN '07
1.446652,0.452917,0.11,0.617891,SEP '07
1.722298,0.513217,0.11,0.480585,DEC '07
1.533093,0.575902,0.11,0.751167,MAR '08
1.68838,0.466535,0.11,0.435501,JUN '08
1.640096,0.494272,0.13,0.366982,SEP '08
1.865492,0.520945,0.13,0.648643,DEC '08
1.503482,0.398967,0.13,0.678796,MAR '09
1.4347,0.362231,0.13,0.43022,JUN '09
1.419459,0.399577,0.13,0.67984,SEP '09
2.117529,0.74185,0.13,0.555134,DEC '09
1.62438,0.457717,0.13,0.83292,MAR '10
1.798662,0.527741,0.13,0.635302,JUN '10
1.852904,0.622599,0.16,0.942381,SEP '10
2.32182,0.765274,0.16,0.488448,DEC '10
1.93396,0.620153,0.16,1.019036,MAR '11
2.051754,0.705375,0.16,0.697336,JUN '11
2.051943,0.677338,0.2,1.000353,SEP '11
2.469699,0.808151,0.2,0.692499,DEC '11
2.049776,0.616239,0.2,1.128972,MAR '12
2.1464,0.470684,0.2,0.915236,JUN '12
1.880504,0.53287,0.23,0.998823,SEP '12
2.536949,0.763915,0.23,0.566082,DEC '12
2.425199,0.720596,0.23,1.146755,MAR '13
2.34743,0.603554,0.23,0.699242,JUN '13
2.194688,0.631895,0.28,0.972848,SEP '13
2.917689,0.793437,0.28,0.52567,DEC '13
2.434803,0.681989,0.28,1.207004,MAR '14
2.798442,0.571624,0.28,1.140084,JUN '14
2.776314,0.651191,0.31,1.000359,SEP '14
3.176811,0.740979,0.31,0.523081,DEC '14
2.618308,0.639104,0.31,1.161831,MAR '15
2.71207,0.3442,0.31,0.845553,JUN '15
2.507422,0.618333,0.36,1.097971,SEP '15
2.933176,0.647882,0.36,0.697802,DEC '15
2.549781,0.491509,0.36,1.298309,MAR '16
2.57914,0.500832,0.36,1.067474,JUN '16
2.774632,0.729482,0.39,1.466353,SEP '16
3.276373,0.806373,0.39,0.803704,DEC '16
2.949571,0.721426,0.39,1.364393,MAR '17
3.262106,1.076467,0.39,1.409813,JUN '17
3.132068,0.848211,0.42,1.595076,SEP '17
3.748249,-0.807575,0.42,1.021401,DEC '17
3.439954,0.960521,0.42,1.55902,MAR '18
3.863408,1.139511,0.42,1.468553,JUN '18
3.733196,1.125869,0.46,1.758563,SEP '18
4.168769,1.074562,0.46,1.145726,DEC '18
3.939179,1.129029,0.46,1.745868,MAR '19
4.349547,1.680233,0.46,2.083829,JUN '19
4.287289,1.388223,0.51,1.792218,SEP '19
4.798596,1.502431,0.51,1.388636,DEC '19
4.562997,1.404287,0.51,2.280651,MAR '20
