Date,Price,Change,% Change,Open,High,Low,VWAP,Short Interest % of Total,Short Interest,Volume % of 30-Day Average,Volume % of 90-Day Average,Volume 90-Day MAVG,Volume 30-Day MAVG,CVol
15/05/1997,1.96,,,2.44,2.5,1.93,,0.000104782,300,,,72108000,72108000,72108000
16/05/1997,1.73,-0.2291668,-11.70213407,1.97,1.98,1.71,,0.000104782,300,20.38608754,20.38608754,43404000,43404000,14700000
19/05/1997,1.71,-0.0208332,-1.204811613,1.76,1.77,1.63,,0.000104782,300,14.069671,14.069671,30971600,30971600,6106800
20/05/1997,1.64,-0.0729168,-4.268300321,1.73,1.75,1.64,,0.000104782,300,17.65230082,17.65230082,24595500,24595500,5467200
21/05/1997,1.43,-0.2083332,-12.73884587,1.64,1.65,1.38,,0.000104782,300,76.65304629,76.65304629,23447040,23447040,18853200
22/05/1997,1.4,-0.03125,-2.18978092,1.44,1.45,1.31,,0.000104782,300,50.22723551,50.22723551,21502000,21502000,11776800
23/05/1997,1.5,0.1041666,7.462681435,1.41,1.52,1.33,,0.000104782,300,74.11961678,74.11961678,20707029,20707029,15937200
27/05/1997,1.58,0.0833334,5.55556,1.51,1.65,1.46,,0.000104782,300,42.00312937,42.00312937,19205850,19205850,8697600
28/05/1997,1.53,-0.0520834,-3.289477756,1.63,1.64,1.53,,0.000104782,300,23.81774303,23.81774303,17580133,17580133,4574400
29/05/1997,1.51,-0.0260416,-1.700675918,1.54,1.54,1.48,,0.000104782,300,19.75411639,19.75411639,16169400,16169400,3472800
30/05/1997,1.5,-0.0052084,-0.346025175,1.5,1.51,1.48,,0.000104782,300,16.04512227,16.04512227,14935309,14935309,2594400
2/06/1997,1.51,0.0104166,0.69444,1.51,1.53,1.5,,0.000104782,300,3.961083071,3.961083071,13740000,13740000,591600
3/06/1997,1.48,-0.03125,-2.068965609,1.53,1.53,1.48,,0.000104782,300,8.611353712,8.611353712,12774092,12774092,1183200
4/06/1997,1.42,-0.0625,-4.225352303,1.48,1.49,1.4,,0.000104782,300,24.11443354,24.11443354,12081686,12081686,3080400
5/06/1997,1.54,0.125,8.823529827,1.42,1.54,1.38,,0.000104782,300,46.95040191,46.95040191,11654400,11654400,5672400
6/06/1997,1.66,0.1145834,7.432437078,1.52,1.71,1.51,,0.000104782,300,66.9892916,66.9892916,11413950,11413950,7807200
9/06/1997,1.69,0.03125,1.886792453,1.66,1.71,1.66,,0.000104782,300,20.60636327,20.60636327,10880894,10880894,2352000
10/06/1997,1.58,-0.1041666,-6.172835556,1.71,1.71,1.53,,0.000104782,300,50.16867126,50.16867126,10579667,10579667,5458800
11/06/1997,1.54,-0.0416668,-2.631587258,1.59,1.6,1.53,,0.000104782,300,11.22908724,11.22908724,10085368,10085368,1188000
12/06/1997,1.6,0.0625,4.054054229,1.58,1.65,1.55,,0.000104782,300,16.18185803,16.18185803,9662700,9662700,1632000
13/06/1997,1.58,-0.0208332,-1.298693041,1.63,1.63,1.58,,4.237851756,12133308,7.178117917,7.178117917,9235600,9235600,693600
16/06/1997,1.57,-0.0104168,-0.65790313,1.6,1.6,1.56,,4.237851756,12133308,9.887825371,9.887825371,8857309,8857309,913200
17/06/1997,1.51,-0.0677082,-4.304627467,1.6,1.6,1.49,,4.237851756,12133308,53.13577692,53.13577692,8676835,8676835,4706400
18/06/1997,1.51,0.0052082,0.346011888,1.52,1.54,1.5,,4.237851756,12133308,28.40667204,28.40667204,8418000,8418000,2464800
19/06/1997,1.51,0,0,1.51,1.53,1.5,,4.237851756,12133308,11.91732003,11.91732003,8121408,8121408,1003200
20/06/1997,1.53,0.015625,1.034482804,1.53,1.55,1.5,,4.237851756,12133308,41.71197901,41.71197901,7939338,7939338,3387600
23/06/1997,1.5,-0.0260416,-1.706480348,1.54,1.54,1.48,,4.237851756,12133308,13.19505403,13.19505403,7684089,7684089,1047600
24/06/1997,1.51,0.0104166,0.69444,1.51,1.53,1.48,,4.237851756,12133308,9.776045161,9.776045161,7436486,7436486,751200
25/06/1997,1.51,0,0,1.53,1.53,1.49,,4.237851756,12133308,28.31982849,28.31982849,7252676,7252676,2106000
26/06/1997,1.51,0,0,1.52,1.52,1.51,,4.237851756,12133308,43.97825107,43.97825107,7117240,7117240,3189600
27/06/1997,1.49,-0.0208332,-1.379301578,1.52,1.52,1.48,,4.237851756,12133308,16.6918637,16.6918637,6925974,4753240,1188000
30/06/1997,1.54,0.0520832,3.496494389,1.51,1.6,1.48,,4.237851756,12133308,57.78795096,39.65940275,6795375,4354800,2746800
1/07/1997,1.52,-0.0260416,-1.689184938,1.54,1.54,1.51,,4.237851756,12133308,29.67759713,19.01881795,6628618,4194320,1292400
2/07/1997,1.59,0.0729166,4.810992165,1.52,1.59,1.51,,4.237851756,12133308,92.55373934,58.5642421,6547835,4141480,3882000
3/07/1997,1.91,0.3229168,20.3278781,1.6,1.92,1.59,,4.237851756,12133308,303.6885365,192.0818016,6720103,3932280,12577200
7/07/1997,2,0.0885416,4.632148939,1.83,2.02,1.83,,4.237851756,12133308,204.7972169,119.8374515,6757133,3808160,8053200
8/07/1997,2.3,0.3020833,15.104165,2.04,2.33,2.04,,4.237851756,12133308,407.4723751,229.6417613,6993892,3794160,15517200
9/07/1997,2.32,0.0208334,0.904980285,2.3,2.39,2.27,,4.237851756,12133308,217.7557088,118.1316516,7027263,3779640,8262000
10/07/1997,2.56,0.2395833,10.31389976,2.33,2.57,2.33,,4.237851756,12133308,239.4831254,128.8069024,7079169,3928880,9051600
11/07/1997,2.29,-0.2708333,-10.56910439,2.52,2.52,2.21,,4.237851756,12133308,268.0458553,148.7632186,7165470,4164160,10531200
14/07/1997,2.14,-0.15625,-6.818181719,2.32,2.33,2.11,,4.237851756,12133308,110.5721202,64.25817148,7103005,4231160,4604400
15/07/1997,2.44,0.3020833,14.14633968,2.14,2.48,2.14,,5.440274382,15575940,218.94705,130.423675,7154457,4520240,9264000
16/07/1997,2.33,-0.1041667,-4.273505641,2.45,2.49,2.3,,5.440274382,15575940,66.8991027,42.26735781,7058400,4581600,3024000
17/07/1997,2.22,-0.1145833,-4.910712927,2.34,2.34,2.16,,5.440274382,15575940,69.17234154,44.89969398,6970009,4584560,3169200
18/07/1997,2.16,-0.0625,-2.816901408,2.19,2.22,2.16,,5.440274382,15575940,17.01362835,11.19080319,6832453,4421480,780000
21/07/1997,2.18,0.0260417,1.207731014,2.18,2.2,2.15,,5.440274382,15575940,13.00017189,8.41279072,6696417,4180400,574800
22/07/1997,2.14,-0.046875,-2.147971328,2.17,2.19,2.06,,5.440274382,15575940,37.40311932,23.34979898,6587209,4154120,1563600
23/07/1997,2.29,0.15625,7.317073057,2.19,2.33,2.18,,5.440274382,15575940,78.45704987,49.47771115,6517875,4080800,3259200
24/07/1997,2.26,-0.03125,-1.363636344,2.3,2.31,2.22,,5.440274382,15575940,29.81768281,18.66866118,6409690,4081760,1216800
25/07/1997,2.23,-0.03125,-1.382488459,2.22,2.25,2.22,,5.440274382,15575940,15.19932578,9.679095553,6293904,4048040,620400
28/07/1997,2.32,0.09375,4.205607414,2.23,2.4,2.22,,5.440274382,15575940,63.5863282,40.8967153,6220965,4110720,2574000
29/07/1997,2.48,0.15625,6.726457303,2.36,2.5,2.33,,5.440274382,15575940,117.1181691,77.38992628,6193915,4240760,4814400
30/07/1997,2.45,-0.03125,-1.260504185,2.5,2.51,2.43,,5.440274382,15575940,59.36671729,40.64634151,6124551,4167800,2517600
31/07/1997,2.4,-0.0520834,-2.127662269,2.44,2.44,2.33,,5.440274382,15575940,34.89610826,23.74704715,6038067,4134120,1454400
1/08/1997,2.42,0.0208334,0.869568012,2.34,2.42,2.25,,5.440274382,15575940,86.78993353,59.42299412,5993520,4220280,3588000
4/08/1997,2.31,-0.1041667,-4.310346147,2.38,2.41,2.3,,5.440274382,15575940,63.29437857,44.56813358,5934193,4196400,2671200
5/08/1997,2.21,-0.1041667,-4.504505946,2.33,2.33,2.15,,5.440274382,15575940,72.2619388,51.10046257,5883284,4262560,3032400
6/08/1997,2.25,0.0416667,1.886793991,2.21,2.31,2.19,,5.440274382,15575940,29.16557186,21.13105462,5803283,4278960,1243200
7/08/1997,2.18,-0.0729167,-3.240742222,2.25,2.26,2.13,,5.440274382,15575940,47.50687083,35.02845001,5739376,4276520,2032800
8/08/1997,2.29,0.1145834,5.263161038,2.17,2.3,2.1,,5.440274382,15575940,51.7149458,38.53380394,5680580,4243920,2211600
11/08/1997,2.33,0.0364583,1.590907613,2.29,2.33,2.25,,5.440274382,15575940,29.20884465,21.82171539,5607777,4245640,1239600
