Date,Price,Change,% Change,Open,High,Low,VWAP,Short Interest % of Total,Short Interest,Volume % of 30-Day Average,Volume % of 90-Day Average,Volume 90-Day MAVG,Volume 30-Day MAVG,CVol
19/08/2004,50.21606,,,50.053406,52.080364,48.026443,,0,0,,,44660547,44660547,44660547
20/08/2004,54.20742,3.99136,7.948373488,50.789116,54.592796,50.29864,52.155437,0,0,51.13080456,51.13080456,33747922,33747922,22835297
23/08/2004,54.75295,0.54553,1.006375142,55.473644,56.794926,54.57778,55.738903,0,0,54.09733672,54.09733672,28584190.33,28584190.33,18256727
24/08/2004,52.485756,-2.267194,-4.140770497,55.70387,55.85401,51.835125,52.931187,0,0,53.34317615,53.34317615,25250071.5,25250071.5,15247715
25/08/2004,53.051304,0.565548,1.077526634,52.5308,54.05227,51.990276,53.06632,0,0,36.39089101,36.39089101,22037802.4,22037802.4,9188726
26/08/2004,54.00723,0.955926,1.801889733,52.605873,54.027245,52.380657,53.366608,0,0,32.19498873,32.19498873,19547346.67,19547346.67,7095068
27/08/2004,53.126377,-0.880853,-1.630990888,54.107323,54.36257,52.896152,53.74197,0,0,31.77894732,31.77894732,17642288.71,17642288.71,6211941
30/08/2004,51.054375,-2.072002,-3.900137967,52.796055,52.796055,51.054375,51.730026,0,0,29.45887058,29.45887058,16086655,16086655,5197219
31/08/2004,51.234547,0.180172,0.352902175,51.209522,51.905193,51.129448,51.50481,0,0,30.59734544,30.59734544,14846147.71,14846147.71,4922089.4
1/09/2004,50.17352,-1.061027,-2.070921014,51.399704,51.534836,49.88324,50.323666,0,0,61.55462129,61.55462129,14275381.94,14275381.94,9138490
2/09/2004,50.80413,0.63061,1.256858199,49.592957,51.234547,49.517887,50.2536,0,0,105.9095376,105.9095376,14352073.67,14352073.67,15118991
3/09/2004,50.053406,-0.750724,-1.477683015,50.523857,50.91924,49.70807,50.29864,0,0,35.90019476,35.90019476,13585436.07,13585436.07,5152422.4
7/09/2004,50.839165,0.785759,1.569841221,50.55389,51.049366,49.85321,50.53387,0,0,43.04378212,43.04378212,12990224.48,12990224.48,5847685.5
8/09/2004,51.199512,0.360347,0.70879803,50.418755,51.564865,50.29864,51.179493,0,0,38.37982943,38.37982943,12418467.45,12418467.45,4985626
9/09/2004,51.204517,0.005005,0.009775484,51.29961,51.40471,50.54888,50.909233,0,0,32.70753188,32.70753188,11861354.57,11861354.57,4061774.2
10/09/2004,52.71598,1.511463,2.951815755,50.84917,53.331573,50.699028,52.5308,0,0,73.34026608,73.34026608,11663716.72,11663716.72,8699149
13/09/2004,53.80203,1.08605,2.060191236,53.491726,54.257473,53.281525,53.842068,0,0,67.25344236,67.25344236,11439042.26,11439042.26,7844251
14/09/2004,55.798958,1.996928,3.711622034,53.892117,56.054207,53.446686,54.813004,0,0,94.6955064,94.6955064,11405332.08,11405332.08,10832259
15/09/2004,56.054207,0.255249,0.457444026,55.333508,57.170288,55.153336,56.189335,12.07694828,8108585.052,93.93443279,93.93443279,11368921.66,11368921.66,10713534
16/09/2004,57.04016,0.985953,1.758927746,56.22437,57.956047,55.87904,57.120235,12.07694828,8108585.052,81.50467809,81.50467809,11263785.73,11263785.73,9266203
17/09/2004,58.801865,1.761705,3.088534464,57.265377,58.801865,56.82996,57.830925,12.07694828,8108585.052,84.10049899,84.10049899,11178505.45,11178505.45,9472900
20/09/2004,59.73777,0.935905,1.591624687,58.5316,60.858852,58.441513,59.90293,12.07694828,8108585.052,95.08522445,95.08522445,11153532.8,11153532.8,10629107
21/09/2004,58.97703,-0.76074,-1.273465682,60.158173,60.26828,58.811874,59.24729,12.07694828,8108585.052,64.81182897,64.81182897,10982892.61,10982892.61,7228808.6
22/09/2004,59.24729,0.27026,0.458246202,58.78184,59.892918,58.461533,59.267315,12.07694828,8108585.052,69.0296042,69.0296042,10841165.73,10841165.73,7581447.3
23/09/2004,60.468475,1.221185,2.061166004,59.477516,61.37435,58.566635,59.772804,12.07694828,8108585.052,78.74154142,78.74154142,10748979.14,10748979.14,8536501
24/09/2004,59.972996,-0.495479,-0.819400522,60.54355,62.11006,59.937965,61.144127,12.07694828,8108585.052,84.88603322,84.88603322,10686494.63,10686494.63,9124382
27/09/2004,59.187237,-0.785759,-1.310188005,59.837864,60.498505,58.957016,59.732765,12.07694828,8108585.052,66.12828289,66.12828289,10552431.7,10552431.7,7066795.4
28/09/2004,63.491398,4.304161,7.272110033,60.583588,63.76166,60.16318,61.769733,12.07694828,8108585.052,160.4428959,160.4428959,10780224.39,10780224.39,16930627
29/09/2004,65.60344,2.112042,3.326501017,63.326237,67.57535,63.176094,65.72856,12.07694828,8108585.052,283.0863154,283.0863154,11460814.58,11460814.58,30517340
30/09/2004,64.86273,-0.74071,-1.12907189,65.17303,66.214035,64.56243,65.29815,12.07694828,8108585.052,120.0467201,120.0467201,11537398.49,11537398.49,13758332
1/10/2004,66.35417,1.49144,2.299379012,65.383224,67.184975,64.51238,65.978806,12.07694828,8108585.052,131.099927,131.099927,11653144.38,10552897.63,15125521
4/10/2004,67.59537,1.2412,1.870568195,67.97574,68.50124,67.07987,67.65042,12.07694828,8108585.052,123.6707629,111.9942273,11696822.65,10226749.36,13050849
5/10/2004,69.25197,1.6566,2.450759571,67.39517,69.33205,66.184006,67.6304,12.07694828,8108585.052,146.5232839,128.1080294,11796451.33,10117677.43,14984569
6/10/2004,68.606346,-0.645624,-0.932282504,68.90163,69.29201,68.06583,68.60134,12.07694828,8108585.052,132.261471,113.4391066,11843078.91,10055479.89,13381789
7/10/2004,69.4922,0.885854,1.291212915,68.34609,70.007706,68.34109,69.33705,12.07694828,8108585.052,140.378422,119.1896475,11908011.62,10219713.16,14115724
8/10/2004,68.931656,-0.560544,-0.806628658,69.432144,69.9076,68.57632,69.287,12.07694828,8108585.052,108.3271891,92.96873694,11884753.74,10352235.16,11070728
11/10/2004,67.695465,-1.236191,-1.793357467,68.57131,69.49721,66.989784,67.86062,12.07694828,8108585.052,101.2216863,88.1693237,11846752.48,10494460.69,10478707
12/10/2004,68.766495,1.07103,1.582129615,67.3101,68.871605,66.764565,67.93069,12.07694828,8108585.052,111.5357934,98.8041239,11843024.26,10711389.39,11705080
13/10/2004,70.51819,1.751695,2.547308831,71.72937,71.844475,70.107796,70.8285,12.07694828,8108585.052,184.5631997,166.9276577,12046261.66,11206295.85,19769283
14/10/2004,71.068726,0.550536,0.780700696,70.578255,71.25891,69.34706,70.25794,12.07694828,8108585.052,93.20668616,86.70753877,12006230.55,11249846.75,10445017
