Date,Price,Change,% Change,Open,High,Low,VWAP,Short Interest % of Total,Short Interest,Volume % of 30-Day Average,Volume % of 90-Day Average,Volume 90-Day MAVG,Volume 30-Day MAVG,CVol
13/03/1986,0.09722222,0,0,0.09722222,0.10243055,0.088541664,,,,0,0,1031788800,1031788800,1031788800
14/03/1986,0.10069445,0.00347223,3.571436653,0.10069445,0.10243055,0.09722222,,,,29.86657735,29.86657735,669974400,669974400,308160000
17/03/1986,0.10243055,0.0017361,1.724126801,0.10243055,0.10329861,0.10069445,,,,19.87705799,19.87705799,491040000,491040000,133171200
18/03/1986,0.09982639,-0.00260416,-2.542366511,0.09982639,0.10329861,0.098958336,,,,13.53665689,13.53665689,384897600,384897600,66470400
19/03/1986,0.09809028,-0.00173611,-1.739129302,0.09809028,0.10069445,0.09722222,,,,12.44341508,12.44341508,317496961.2,317496961.2,47894406
20/03/1986,0.09548611,-0.00260417,-2.654870595,0.09548611,0.09809028,0.09461805,,,,18.40496356,18.40496356,274320001,274320001,58435200
21/03/1986,0.09288195,-0.00260416,-2.727265777,0.09288195,0.09722222,0.091145836,,,,21.86876632,21.86876632,243701486.6,243701486.6,59990400
24/03/1986,0.09027778,-0.00260417,-2.803741739,0.09027778,0.09288195,0.08940972,,,,26.79080826,26.79080826,221400000.5,221400000.5,65289598
25/03/1986,0.09201389,0.00173611,1.923075645,0.09201389,0.09201389,0.08940972,,,,14.49105688,14.49105688,200364800.4,200364800.4,32083200
26/03/1986,0.09461805,0.00260416,2.8301814,0.09461805,0.09548611,0.091145836,,,,11.35528793,11.35528793,182603520.4,182603520.4,22752000
27/03/1986,0.096354164,0.001736114,1.834865546,0.096354164,0.096354164,0.09461805,,,,9.226546106,9.226546106,167534836.5,167534836.5,16847998
31/03/1986,0.09548611,-0.000868054,-0.900899311,0.09548611,0.096354164,0.09375,,,,7.684132605,7.684132605,154646400.1,154646400.1,12873599
1/04/1986,0.09461805,-0.00086806,-0.909095574,0.09461805,0.09548611,0.09461805,,,,7.169904372,7.169904372,143603446.2,143603446.2,11087999
2/04/1986,0.09548611,0.00086806,0.917435944,0.09548611,0.09722222,0.09461805,,,,18.81180482,18.81180482,135275657.1,135275657.1,27014400
3/04/1986,0.096354164,0.000868054,0.909089291,0.096354164,0.098958336,0.096354164,,,,17.03188769,17.03188769,127793279.9,127793279.9,23039998
4/04/1986,0.096354164,0,0,0.096354164,0.09722222,0.096354164,,,,20.80109379,20.80109379,121467599.9,121467599.9,26582400
7/04/1986,0.09461805,-0.001736114,-1.80180485,0.09461805,0.09722222,0.09288195,,,,13.63326518,13.63326518,115296564.6,115296564.6,16560000
8/04/1986,0.09548611,0.00086806,0.917435944,0.09548611,0.09722222,0.09461805,,,,8.892545963,8.892545963,109460799.9,109460799.9,10252800
